[[278   2  90  28  37  29   0  51  31  16]
 [  5 266   6   5   0  60  44 185   6   5]
 [ 38   8 466  34  82  48   1  38 102  21]
 [ 12  12  66 681 110 150   1 175  12  23]
 [ 16   1 115 110 238  54   1  27  24  14]
 [ 33  46  56 131  25 521  11 316  16  27]
 [  3  38   4   7   0  12 139 128   0   4]
 [ 18  44  42  40  11 129  31 767  20  13]
 [ 22   3  87   1   9   9   0  41 327  12]
 [ 17   4  68  25  15  43   2  85  60 115]]
