[[346  10  60  10  21   9   3  13  27  63]
 [  4 385   5   2   1  16  68  73   7  21]
 [ 78  25 403  12  74  22   7  20 110  87]
 [ 42  42  61 489 164 151  23 121  20 129]
 [ 43  15 111  70 249  29   1  11  27  44]
 [ 62 149  57  82  41 369  55 208  37 122]
 [  4  90   1   1   0   7 179  43   2   8]
 [ 44 171  46  18  10  79  99 528  32  88]
 [ 44  11  49   0   3   4   5   6 341  48]
 [ 38  22  26   8  13  16  17  26  60 208]]
